ā 吖呵啊腌錒锕阿
á 呵啊嗄
ǎ 呵啊
à 呵啊
a 呵啊
āi 哀哎唉嗳噯埃娭挨溾諰銰鎄锿㗒
ái 凒啀嘊娾嵦挨捱敱敳溰癌皑皚硙磑隑䶣
ǎi 嗳噯娾昹欸毐濭矮絠蔼藹譪躷霭靄
ài 伌僾儗叆唉嗌嗳噯堨塧壒嫒嬡愛懓懝暧曖欬焥爱瑷璦皧瞹砹硋碍礙艾薆譺賹鑀隘靉餲馤鱫鴱㤅
ān 侒偣厂啽垵媕安峖广庵桉氨痷盦盫腤菴萻葊蓭裺誝諳谙鞌鞍韽馣鮟鵪鶕鹌
án 儑啽玵雸
ǎn 俺唵垵埯揞晻罯銨铵
àn 儑厈咹堓婩屵屽岸按晻暗案洝犴胺荌豻貋錌闇隌黯
āng 肮骯
áng 仰卬岇昂昻
àng 枊盎醠
āo 凹柪梎泑熝熬爊眑軪
áo 厫嗷嗸嚣墽嶅廒慠摮敖滶熬獒獓璈磝翱翶翺聱蔜螯謷謸遨鏕鏖隞鰲鳌鷔鼇
ǎo 媪媼抝拗眑艹芺袄襖郩镺
ào 傲坳垇墺奡奥奧嫯岙岰嶅嶴慠懊扷抝拗擙柪澚澳薁軪鏊隩驁骜
bā 丷仈八叭吧哱哵夿岜峇巴扒扷捌朳柭玐疤笆粑羓芭蚆豝釟魞鲃㿬
bá 叐妭抜拔炦犮癹胈茇菝詙跋軷颰魃鼥
bǎ 把鈀钯靶㞎
bà 坝垻壩弝把欛灞爸皅矲罢罷耙覇跁霸魞鮁鮊鲃鲅鲌䎬䎱
ba 吧罢罷
bāi 挀掰擘㓦
bái 拜白
bǎi 伯佰捭摆擺柏栢百竡粨絔襬㧳
bài 呗唄庍拜拝敗猈稗粺薭贁败韛䒔
bai 㗑
bān 扳搫搬攽斑斒朌班瘢癍肦般螁螌褩辬頒颁鳻
bǎn 坂岅昄板版瓪粄舨蝂鈑钣闆阪魬䉽䬳
bàn 伴办半坢姅怑扮拌柈湴瓣秚絆绊跘辦鉡靽㚘
bāng 垹帮幇幚幫彭捠梆浜縍邦邫鞤㨍
bǎng 榜牓綁绑膀髈
bàng 傍塝挷搒旁棒棓榜玤硥磅稖縍艕蒡蚄蚌蛖蜯謗谤鎊镑
bāo 佨剝剥勹包孢枹炮煲笣胞苞蕔裦褒襃闁齙龅
báo 窇薄雹㼎
bǎo 保堡堢媬宝宲寚寳寶怉珤緥葆藵褓賲靌飹飽饱駂鳵鴇鸨
bào 儤刨勽嚗報忁怉报抱暴曓曝瀑爆犦犳菢虣蚫袌豹趵鉋鑤铇骲髱鮑鲍
bēi 卑悲揹杯柸桮棓椑盃碑箄背藣諀陂鞞鵯鹎䎱
běi 北鉳
bèi 俻倍偝偹備僃勃北备孛悖惫愂憊昁杮梖棑棓焙牬犕狈狽珼琲碚禙糒背苝蓓蛽被褙誖貝贝軰輩辈邶郥鄁鋇鐾钡鞁鞴骳
bei 呗唄臂
bēn 喯奔栟泍漰犇蟦賁贲錛锛
běn 夲奙本楍畚翉苯
bèn 倴坋坌夯奔捹撪桳泍渀炃笨逩
bēng 伻嗙嘣奟崩嵭痭祊絣繃绷閍
béng 甭甮
běng 埄埲琣琫绷菶鞛䩬
bèng 堋塴揼泵甏綳繃绷蚌跰蹦迸逬鏰镚䨻
bī 偪屄楅榌毴皀螕豍逼鎞鰏鲾鵖㗊
bí 嬶荸鼻
bǐ 佊俾匕吡啚夶妣娝崥彼朼柀比毞沘疕秕笔筆粃紕纰聛肶舭芘貏鄙
bì 佖佛咇哔嗶坒堛壁奰妼婢嬖币幣幤庇庳廦弊弻弼彃必怭怶愊愎拂敝斃旇朇柲梐毕毖毙泌湢滗滭潷濞煏熚狴獘獙珌璧畀畁畐畢疪痹痺皕睤睥碧祕禆秘稫笓筚箅箆篦篳粊紴綼縪繴罼翍肶胇腷臂苾荜萆萞蓖蓽蔽薜蜌袐裨襅襞襣觱詖诐貱賁贔贲赑跸蹕躃躄辟避邲鄨鄪鉍鎞鏎鐴铋閇閈閉閟闬闭陛鞞鞸韠飶饆馝駜驆髀髲魓鮅鶝鷝鷩鼊䟤䪐
biān 炞煸牑猵獱甂砭笾箯籓籩糄編编臱萹蝙边辺邉邊鍽鞕鞭鯾鯿鳊
biǎn 匾惼扁揙疺碥稨窆糄萹藊褊覵貶贬鴘鶣
biàn 便卞变変峅弁徧忭抃昪汳汴玣緶缏艑苄覍諚變辡辧辨辩辫辮辯遍釆閞㻞
bian 边
biāo 僄儦墂幖彪摽杓标標檦淲滮瀌灬熛爂猋瘭磦穮篻膔膘臕藨謤贆鏢鑣镖镳颩颮颷飆飇飈飊飑飙飚驫骉骠髟麃
biáo 嫑
biǎo 婊檦脿表裱褾諘錶
biào 俵摽鰾鳔
biē 憋柭瘪癟虌蟞鱉鳖鼈龞
bié 別别徶柲癿莂蛂蟞襒蹩䏟䟤
biě 瘪癟
biè 別别彆䏟
bīn 份傧儐宾彬斌梹椕槟檳汃滨濒濱濵瀕玢瑸璸砏繽缤虨豩豳賓賔邠鑌镔霦頻顮频㺍
