ā 吖呵啊腌錒锕阿
gǔ 䀇䀦䓛傦古啒嗗嘏夃尳愲扢抇榖榾櫎毂汩淈濲瀔牯皷皼盬瞽穀糓縎罟羖股脵臌薣蛄蛊蠱詁诂谷賈贾轂逧鈷钴餶馉骨鶻鹄鹘鼓鼔𦙶
gù 䶜估僱凅固堌崓崮怘故梏棝牿痼祻錮锢雇顧顾鯝鲴
guā 䒷䯄刮劀呱括栝桰歄煱瓜緺胍諣趏踻銛銽铦颪颳騧鴰鸹
guǎ 冎剐剮叧呱咼寡
guà 卦啩挂掛絓罣罫袿褂詿诖𮉤
guāi 乖掴
guái 叏
guǎi 拐枴柺箉罫
guài 夬怪恠
guān 倌关冠官棺瘝癏矜矝窤綸纶莞蒄覌観觀观閞関闗關鰥鱞鳏
guǎn 斡琯璭痯筦管舘莞輨錧館馆鳤𫐑
guàn 䝺丱冠卝悹悺惯慣掼摜樌欟毌泴涫淉潅灌爟瓘盥矔礶祼罆罐覌観觀观貫贯躀遦鏆鑵雚鱹鸛鹳
guāng 僙光咣垙姯挄桄洸潢灮炗炚炛烡珖硄胱茪輄銧黆𨐈
guǎng 广広廣犷獷臩
guàng 俇撗桄臦逛
guī 㱕䢜亀傀圭妫媯嫢嬀嶲巂帰廆归摫椝槣槻槼櫰櫷歸珪瑰璝瓌皈瞡硅窐胿茥蘬袿規规邽郌閨闺雟騩鬶鬹鮭鲑鳺龜龟
guǐ 佹匦匭厬垝姽宄庋庪恑攱晷朹氿湀癸祪簋蛫蟡觤詭诡軌軓轨陒鬼𣪕
guì 刽刿劊劌匮匱嶡撌攰攱昋柜桂桧椢槶樻檜櫃溎炅猤癐瞆瞶禬筀簂蓕螝襘貴贵趹跪鐀鑎鞼鱖鱥鳜𮬝
gǔn 丨惃滚滾磙緄緷绲蓘蔉衮袞裷輥辊鮌鯀鲧
gùn 棍睔謴
guō 呙咼啯嘓埚堝墎崞彉彍懖楇涡渦濄猓瘑矌聒蝈蟈过郭鈛鍋锅𭚦
guó 㶁䆐喐囗囯囶囻国圀國帼幗慖掴摑敋漍簂聝腘膕蔮虢馘𬇹
guǒ 惈果椁槨櫎淉粿綶菓蜾裹褁輠餜馃
guò 腂过過鐹
guo 过
hā 哈紦蝦鉿铪
há 虾蛤
hǎ 哈奤
hà 哈
hāi 㰩咍咳嗨
hái 嚡孩还還郂骸
hǎi 塰海烸胲酼醢𥁐
hài 㤥亥嗐妎害拸氦猲絯蓋餀饚駭駴骇
hān 佄哻嫨憨歛犴蚶谽酣頇顸馠魽鼾𤞶
hán 函凾含唅圅娢寒崡嵅晗梒椷汗汵浛涵澏焓琀甝笒筨肣虷蜬邗邯鋡韓韩馯
hǎn 㘎丆喊浫罕蔊豃闞阚
hàn 仠傼厂厈唅垾屽忓悍憾扞捍撖撼攼旰旱晘暵汉汗涆漢瀚焊熯猂皔睅翰肣莟菡蔊蛿蜭螒譀輚釬銲鋎閈闬雗頷顄颔馯駻鳱鶾
han 兯爳
hāng 夯
háng 䘕亢吭垳妔斻杭桁笐筕絎绗航苀蚢行裄貥迒邟頏颃魧
hàng 巷忼沆笐行
hāo 䜰嚆茠蒿薅薧
háo 乚儫号呺嗥嘷噑嚎壕椃毜毫濠獆獋獔皋竓籇蚝蠔諕譹豪貉
hǎo 好郝
hào 䒵傐号哠好恏悎昊昦晧暠暤暭曍浩淏滈滜澔灏灝皓皜皞皡皥秏耗聕薃藃號鄗鎬镐顥颢鰝
hē 㰤何呵喝嗬抲欱苛蠚訶诃
hé 㗿何劾合咊和咼啝喛噈姀峆敆曷朅柇核楁毼河涸渮澕熆狢皬盇盉盍盒盖礉禾篕籺粭紇纥翮荷菏萂蓋螛覈訸詥貈貉郃釛鉌鑉閡閤闔阂阖鞨頜颌餄饸魺鲄鶡鹖麧齕龁龢𬌗
hè 何佫吓和哬喝嗃嚇垎壑寉惒抲焃煂熇燺爀猲癋碋翯荷袔褐謞賀贺赫隺靍靎靏鶮鶴鸖鹤
hēi 嗨嘿潶黑黒𬭶
hén 拫痕鞎𬣳
hěn 佷哏噷很狠詪
hèn 噷恨
hēng 亨哼啈悙涥脝
héng 㶇䬝䯒姮恆恒撗桁横橫烆珩胻蘅行衡鑅鴴鵆鸻
hèng 啈堼悙横橫
hm 噷
hng 哼
hōng 叿吽呍哄嚝巆揈渹灴烘焢硡薨訇谾軣輷轟轰鍧
hóng 㗢仜厷叿吰垬妅娂宏宖屸弘彋汯沗泓洪浤浲渱溄潂玒玜瓨硔竑竤篊粠紅紘紭綋红纮羾翃翝耾苰荭葒葓蕻虹谹谼鈜鉷鋐閎闳霐霟鞃魟鴻鸿黉黌𫚉𫟹𬭎𮣳
hǒng 哄唝嗊愩慐晎
hòng 䬝哄撔澒蕻訌讧銾閧闀闂鬨𭱊
hōu 齁
hóu 㬋侯喉帿猴瘊睺矦篌糇翭翵葔鄇銗鍭餱骺鯸𬭤
hǒu 吼吽呴犼
hòu 侯候厚后垕堠後洉矦茩豞逅郈鮜鱟鲎鲘
hū 㦌㺀乎乯匢匫呼唿嘑垀寣幠忽恗惚戏戯戱戲昒曶歑沕泘淴滹烀糊膴芔芴苸虍虖謼軤轷雐雽𭘓
hú 㗅和喖嘝囫壶壷壺媩弧抇搰斛核楜槲湖瀫焀煳狐猢瑚瓡瓳礐箶糊絗縎縠胡葫蔛蝴螜衚觳醐鍸隺頶餬鬍魱鰗鵠鶘鶦鶮鶻鹄鹕鹘
hǔ 乕俿唬汻浒淲滸琥萀虎虝许錿鯱
hù 互冱嗀嗃嚛姱婟嫭嫮岵帍弖怘怙戶户戸戽扈护摢昈曶枑楛槴沍沪滬濩熩瓠祜笏簄粐糊綔芐蔰觷護豰鄠鍙雽頀鱯鳠鳸鸌鹱
huā 化华吪哗嘩埖婲椛砉硴糀花芲華蒊蘤誮錵
huá 䶤划劃华呚哗嘩姡搳撶滑猾磆華蕐螖譁豁釪釫鋘鏵铧驊骅鷨𮬡
huà 划劃化华夻婳嫿嬅崋摦杹枠桦槬樺澅画畫畵繣舙華觟話諙諣譮话黊𫰡
huái 佪徊怀懐懷槐櫰淮瀤耲蘹褢褱踝
huài 咶坏壊壞蘾
huai 划
huān 嚾孉懁懽欢歓歡犿狟獾讙貆貛酄驩鴅鵍𬤰𬴐
huán 圜垸堚嬛寏寰峘桓洹澴狟獂环環瓛瞏糫絙綄繯缳羦荁萈萑蒝豲貆还還郇鍰鐶锾镮闤阛雈雚鬟鹮𤩽𬘫𮝹
huǎn 㬊緩缓
huàn 㓉䍺唤喚喛嚾奂奐宦嵈幻患愌换換擐攌梙槵浣涣渙漶澣烉焕煥瑍痪瘓睆綄肒藧豢轘逭鯇鯶鰀鲩
huāng 㠵塃宺巟慌朚肓荒衁
huáng 㾮偟凰喤堭墴媓崲徨惶揘楻湟潢煌熿獚瑝璜癀皇磺穔篁簧艎葟蝗蟥諻趪遑鍠鐄锽隍韹餭騜鰉鱑鳇鷬黃黄𨱑
huǎng 兤奛宺幌怳恍晃晄櫎汻炾熀熿縨詤謊谎
huàng 㿠愰晃曂榥滉皝皩鎤
huī 㧑咴噅噕堕墮婎媈孈幑徽恢拻挥揮撝晖暉椲楎洃瀈灰灳烣煇珲琿睳禈翚翬蘳虺袆褘詼诙豗輝辉隓隳鰴麾
huí 佪囘回囬廻廽恛洄烠痐繢缋茴藱蚘蛔蛕蜖迴逥鮰𫚔
huǐ 䃣悔檓毀毁毇烠燬虺螝譭
huì 䙌䙡䵻会僡儶匯卉哕喙嘒噦嚖圚嬒寭屶屷廆彗彙彚徻恚恵惠慧憓懳晦暳會桧槥橞檅檜櫘殨汇泋浍湏溃滙潓潰澮濊烩燴獩璤璯瘣瞺硊秽穢篲絵繢繪绘缋翙翽芔荟蔧蕙薈薉藱蟪詯誨諱譓譿讳诲賄贿銊鏸鐬闠阓靧頮顪颒餯𫖃𬤝𬭬
hūn 㛰䎜婚惛昏昬棔殙涽湣焄睧睯碈荤葷蔒轋閽阍
hún 忶浑混渾湷珲琿餛馄魂鼲
hùn 䫟俒倱圂婫尡慁掍棍混溷焝眃睴觨諢诨
huō 剨劐吙嚄攉秴耠豁锪騞𬴃
huó 㓉佸和姡活秮秳趏
huǒ 伙夥漷火灬煷邩鈥钬
huò 㓉㘞㸌㺢俰和咟喐嚄嚯嚿奯彠惑或捇掝擭旤曤檴沎湱漷濊濩瀖獲癨眓矆矐礊祸禍穫窢篧耯臛艧获蒦藿蠖謋豁貨货鍃鑊镬閄雘霍靃韄𦞦𮬟
jī 㚻丌乩僟其几击刉刏剞叽咭唧喞嗘嘰圾基墼奇姬屐嵆嵇幾庴懠撃撽擊攲敧朞期机枅槣樭機櫅毄激犄玑璣畸畿癪矶磯禨积稘稽積笄筓箕簊綨緁缉羁羇羈耭肌芨苙虀覉覊觭諅譏譤讥賫賷赍跻踑躋躸銈錤鐖鑇鑙隮雞鞿韲飢饑饥魕鳮鶏鶺鷄鸄鸡齎齏齑𥘌𩉜𫌀𫓯𬯀
jí 㗊㧀㮟㴔䞘䳭乁亟亼亽伋佶偮卙即卽及叝吉堲塉姞嫉尐岌嵴嶯彶忣急愱戢揤极棘楖楫極槉檝殛汲淁湒潗濈焏疾瘠皀皍磼笈箿簎籍級緝级耤膌艥蒺蕀蕺藉蝍螏襋觙諔诘谻趌趞踖蹐躤輯轚辑郆銡鍓鏶集雧霵革鞊鹡
jǐ 䍤丮几妀屰己幾憿戟挤掎撠據擠橶泲济済濟犱穖給纪给脊虮蟣魢鱾麂
jì 㑑䶩伎偈兾冀剂剤劑勣哜嚌坖垍塈妓季寂寄帺廭彐彑徛忌悸惎懠懻技摖旡既旣暨暩曁梞檕檵櫅櫭汥洎济済漃漈濟瀱璾畟痵癠瞉祭禝禨稩稷穄穊穖穧系紀紒継績繋繫繼纪继绩罽臮芰茍茤荠葪蓟蔇薊薺蘎蘮蘻裚襀覬觊計記誋諅计记跡跽蹟迹际際霁霽驥骥髻鬾魝魥鮆鯚鯽鰶鰿鱀鱭鲚鲫鵋鷑齌齐龮𪟝𬶭
jiā 㹢䇲䴥乫伽佳傢加哿嘉埉夹夾宊家徍抸拁挟挾枷梜椵毠泇浃浹犌猳珈痂笳糘耞腵茄葭袈豭貑跏迦鉫鎵镓鴐麚𬂩
jiá 唊圿夹夾忦恝戛戞扴拮猰脥荚莢蛱蛺袷裌跲郏郟鋏铗頬頰颉颊鴶鵊
jiǎ 假叚嘏婽岬徦斚斝椵榎槚檟玾甲瘕胛賈贾鉀钾
jià 价假價嫁幏架榢稼賈駕驾
jia 家
jiān 䶢䶬傔兼冿囏坚堅奸姦姧尖帴幵惤戋戔揃搛攕椷椾樫櫼歼殱殲浅渐湔溅漸濺瀐瀸煎熞熸牋犍猏玪瑊监監睷碊礛礷稴笺箋篯籈籛緘縑缄缣肩艰艱菅菺葌蒹蔪蕑蕳虃譼豜豣鋑鋻鑯閒间雃鞬鞯韀韉餰馢鰔鰜鰹鲣鳒鳽鵑鵳鶼鹣麉
jiǎn 䶠俭倹儉减剪囝堿帴弿彅戩戬拣挸捡揀揃揵撿暕枧柬梘检検橏檢減湕瀽瑐睑瞼硷碱礆笕筧简篯簡籛絸繭翦茧藆蠒裥襇襉襺詃謇謭譾谫趼蹇鋄鎫鐗鐧锏閒鬋鰎鹸鹻鹼𬘖𭄛
jiàn 件侟俴健僣僭剑剣剱劍劎劒劔堑塹墹寋建徤揵擶旔朁栫楗榗槛檻毽洊涧渐溅漸澗濺瀳牮珔监監瞯瞷磵礀箭糋繝聻腱臶舰艦荐薦螹袸見覵覸见諓諫譛谏賎賤贱趝跈践踐踺轞釰釼鉴鋻鍳鍵鏩鐧鐱鑑鑒鑬鑳锏键閒間间鞬餞饯𣴓𬑗𬣡
jiāng 䕬僵壃姜将將摪橿殭江浆漿畕畺疅疆礓繮缰翞茳葁薑螀螿豇韁鱂鳉
jiǎng 傋塂奖奨奬桨槳港獎耩膙蒋蔣講讲顜
jiàng 勥匞匠夅将將嵹弜弶強强彊摾櫤洚浆滰漿犟畺糡糨絳绛虹謽酱醤醬降
jiāo 㚣㤭䴔交僬喬嘐姣娇嬌峧嶕嶣憍憢挍敎教椒浇澆焦燋礁穚簥胶膠膲艽茭茮蕉虠蛟蟭跤轇郊鐎驕骄鮫鲛鵁鷦鷮鹪𫐖
jiáo 嚼矫矯
jiǎo 㳅佼侥僥儌剿劋勦孂徺徼恔憿挢捁搅摎摷撟撹攪敫敽敿晈暞曒樔湫湬灚烄煍燞狡璬皎皦矫矯笅筊絞繳纐绞缴脚腳臫蟜角譑賋踋釥鉸铰餃饺鱎龣
jiào 叫呌嘂嘄嘦噍噭嚼嬓峤嶠徼悎挍敎教斍斠校滘漖潐灂爝獥珓癄皭窌窖笅筊藠覐覚覺觉訆譥趭較轎轿较酵醮釂
jiē 哜喈喼嗟嚌堦媘嫅接掲揭擑椄楷湝煯瑎疖痎癤皆秸稭結结脻节菨蝔街袓裓謯阶階鞂鶛𬭴
jié 㔾㛃倢偈偼傑刦刧刼劫劼卩卪啑婕媫孑寁尐岊崨嵑嵥嶱嶻巀幯截扢拮捷掶搩擮擳昅杢杰桀桔桝楬楶榤洁洯滐潔狤疌睫碣礍竭節紒結絜结羯节莭蓵蛣蜐蠘蠞蠽衱袷袺訐詰誱讦诘趌踕迼鉣鍻镼鞊頡颉鮚鲒𮔂
jiě 她姐媎檞毑解觧飷
jiè 丯介价借吤唶堺妎屆届岕嶰庎徣悈戒斺楐犗玠琾界畍疥砎紒耤芥藉蚧蛶衸褯解觧誡诫鎅骱魪鶡
jie 价價家
jīn 今仐埐堻巾惍斤津珒琻璡矜矝砛禁竻筋紟荕菳衿襟觔金釒釿钅鹶黅𫄛𬬱
jǐn 仅侭僅儘卺厪堇婜嫤尽巹廑慬槿漌瑾紧緊菫蓳謹谨錦锦饉馑
jìn 䶖仅伒僅僸凚劤劲勁唫噤嚍堇墐壗妗嫤嬐嬧寖尽慬搢晉晋枃榗歏殣浕浸溍濅濜烬煡燼琎瑨璶盡祲禁笒紟縉缙臸荩藎覲觐賮贐赆近进進靳馸齽
jīng 䴖京亰兢坕坙婛巠惊旌旍晶橸泾涇猄睛秔稉箐粇粳精経經綡经聙腈茎荆荊菁葏鋞驚鯨鲸鶁鶄麖麠鼱𢀖
jǐng 丼井儆刭剄坓宑幜憬憼擏景暻殌汫汬澋璄璟璥穽肼蟼警阱頚頸颈
jìng 俓倞傹净凈劤劲勁境妌婙婧弪弳径徑憼敬曔桱梷殑浄淨瀞獍痉痙竞竟竧竫競竸经胫脛莖誩踁迳逕鏡镜靓靖静靚靜鵛
jiōng 冂冋坰埛扃扄浻絅蘏蘔銄駉駫𬳶
jiǒng 㷗䌹䐃侰僒冏囧泂浻澃炅炯烱煚煛熲燛窘絅綗臦臩褧迥逈顈颎
jiū 丩剹勼啾揂揪揫摎朻樛牞稵究糺糾纠萛赳阄鬏鬮鳩鸠
jiǔ 㐇久乆九乣奺杦氿汣灸玖糺紤舏酒镹韭韮
jiù 㠇倃僦匓匛匶厩咎就廄廏廐慦捄救旧柩柾桕欍殧疚臼舅舊鯦鷲鹫麔齨
jū 㪺且伡俥俱凥匊娵婮居岨崌抅拘挶据掬揟梮椐檋毩毱泃涺狙琚疽眗砠罝腒艍苴蜛裾諊趄跔跙踘躹車车鋦鋸锔锯陱雎鞠鞫駒驹鮈鴡鶋𬶋
jú 䰬䴗侷僪啹婅局巈桔椈橘泦淗湨焗犑狊粷繘菊蓻蘜趜跼蹫輂郹鋦锔閰駶驧鵙鵴鶪鼰鼳
jǔ 䶥举咀弆挙擧枸柜椇榉榘櫸欅沮矩筥聥舉莒蒟襷踽齟龃
jù 乬俱倨倶具剧劇勮句埧埾壉姖寠屦屨岠巨巪忂怇怐怚惧愳懅懼拒拠据據昛歫沮洰渠澽炬烥焣犋珇瞿秬窭窶簴粔耟聚苣菹蒩虡蚷螶袓詎讵豦貗跙距踞躆遽邭醵鉅鋸鐻钜锯颶飓駏鮔𮣷
juān 䥴勌勬圈圏姢娟捐朘梋涓焆瓹脧蠲裐鋑鋗鎸鐫镌鞙鹃
juǎn 卷呟埍巻帣捲臇菤錈锩闂龹
juàn 倦劵勌卷圈圏奆奍婘嶲巂巻帣弮悁惓慻桊棬椦淃狷獧瓹眷睊睠絭絹縳绢罥羂腃蔨讂鄄鋗隽雋飬餋
juē 噘屩屫撅撧𪨗𫏋
jué 㵐㹟䦆亅倔傕决刔劂匷厥叕吷噊噱嚼埆壆妜孒孓崛崫嶡嶥弡彏憠憰戄抉挗捔掘撅攫桷橛橜櫭欮氒決泬灍焳熦燋爑爝爴爵獗玃玦玨珏瑴璚疦瘚矍矞矡砄穱絕絶繘绝脚臄芵蕝蕨虳蚗蟨蟩袦覐覚覺觉角觖觮觼訣譎诀谲貜赽趉趹蹶蹷躩鈌鐍鐝钁镢駃髉鳜鴂鴃鷢𫔎𫘝𫛞
juě 蹶
juè 倔誳
jūn 军君均姰桾汮皲皸皹碅筠莙菌蚐袀覠軍鈞銁銞鍕钧頵鮶鲪麇麏麕龜龟
jùn 䐃俊儁呁埈寯峻懏捃攈攟晙棞浚濬焌燇珺畯竣箘箟菌葰蜠賐郡陖隽雋餕馂駿骏鵔鵕鵘
kā 㮟咔咖喀擖
kǎ 佧卡咔咯垰胩裃鉲
kāi 奒开揩鐦锎開
kǎi 凯凱剀剴嘅垲塏岂嵦恺愷慨暟楷蒈豈輆鍇鎧铠锴闓闿颽
kài 勓忾愒愾欬欯濭炌烗鎎
kān 刊勘堪嵁戡栞看龕龛
kǎn 㙳䶫侃偘冚凵坎埳惂扻槛檻欿歁砍竷莰輡轗顑𫐘
kàn 墈崁嵌看瞰矙磡竷衎闞阚鬫
kāng 嫝嵻康忼慷槺漮砊穅粇糠躿鏮閌闶鱇𡐓
káng 扛
kàng 亢伉匟囥抗炕犺邟鈧钪閌闶
kāo 尻嵪髛
kǎo 丂拷攷栲洘烤考薧𥬯
kào 㸆洘焅犒銬铐靠鮳鯌鲓
kē 匼呵嗑坷嵙搕柯棵榼樖牁牱犐珂疴痾瞌砢磕礚科稞窠窼苛萪薖蚵蝌趷軻轲醘鈳鉿钶铪頦顆颏颗髁
ké 㕎咳壳揢殼翗颏
kě 可坷岢嵑嶱敤渇渴炣磆軻閜
kè 克刻剋勀勊可嗑堁娔客尅峇恪悈愘愙歁氪溘濭硞碦礊緙缂艐衉袔課课錁锞騍骒𮯙
ke 迲
kēi 剋尅
kěn 啃垦墾恳懇肎肯肻豤貇錹龂龈
kèn 掯珢裉褃
kēng 劥吭坈坑妔挳揁摼殸牼硁硜硻誙銵鍞鏗铿阬
kěng 硻
kōng 倥埪崆悾椌涳硿空箜躻錓鵼
kǒng 倥孔恐悾空
kòng 控矼硿空羫鞚
kōu 剾彄抠摳眍眗瞘芤𫸩
kǒu 㔚劶口竘
kòu 冦叩宼寇怐扣敂滱瞉窛筘簆蔲蔻釦鷇
kū 刳哭圐堀扝挎朏枯桍矻秙窋窟胐跍郀骷鮬
kǔ 楛狜苦
kù 俈喾嚳库庫廤捁瘔硞秙絝绔袴裤褲酷
kuā 夸姱恗晇絓舿誇
kuǎ 侉咵垮楇銙
kuà 㐄夸挎胯誇趶跨骻
kuǎi 㧟擓蒯
kuài 㱮会侩儈凷哙噲圦块塊墤巜廥快旝會欳浍澮狯獪璯筷糩脍膾蒉郐鄶駃鱠鲙
kuān 宽寛寬臗鑧髋髖
kuǎn 梡欵款歀窽窾
kuāng 㑌俇劻匡匩哐恇洭硄筐筺誆诓軭迋邼
kuáng 忹抂狂狅誑诳軖軠鵟
kuǎng 儣夼懭
kuàng 丱况卝圹壙岲懬旷昿曠框況眖眶矌矿砿礦穬絋絖纊纩貺贶軦邝鄺鉱鋛鑛黋𬘢
kuī 亏刲岿巋悝盔窥窺聧虧闚顝
kuí 㙓喹夔奎巙戣揆晆暌楏楑櫆犪睽葵藈蘷虁蝰躨逵鄈鍨鍷隗頯馗騤骙魁鮭𫠆
kuǐ 傀尯煃磈跬蹞頍
kuì 㱮䙌䙡匮匱喟嘳媿嬇尯愦愧憒殨溃潰瞆瞶篑簣籄聩聭聵胿膭蒉蕢謉餽饋馈
kūn 㒭䖵坤堃堒婫崐崑昆晜潉焜熴猑琨瑻菎蜫裈裩褌貇醌錕锟騉髠髡髨鯤鲲鵾鶤鹍
kǔn 壸壼悃捆梱硱祵稇稛綑裍閫閸阃
kùn 困涃睏
kuò 噋廓扩拡括挄擴栝漷濶秮秳筈萿葀蛞适銛銽铦闊阔霩鞟鞹韕頢髺鬠𨓈
lā 啦喇垃拉搚柆砬磖菈邋
lá 剌喇嚹拉揦旯砬磖
lǎ 喇拉藞
là 㻋䶛剌拉揦揧擸攋楋櫴溂爉瓎瘌翋腊臈臘落蜡蝋蝲蠟辢辣鑞镴鬎鯻𬶟
la 啦鞡
lái 來俫倈婡崃崍庲徕徠来梾棶涞淶猍琜筙箂莱萊逨郲錸铼騋鯠鶆麳
lǎi 襰
lài 唻娕婡徕徠攋櫴濑瀨瀬疠癘癞癩睐睞籁籟藾誺賚賴赉赖頼顂鵣
lai 𫪁
lán 㑣儖兰厱啉囒婪岚嵐幱惏懢拦攔斓斕暕栏欄欗澜瀾灆灡燣燷璼篮籃籣繿葻蓝藍蘫蘭褴襕襤襴襽譋讕谰躝鑭镧闌阑韊𬒗𮆏
lǎn 㑑㘝㩜壈嬾孄孏懒懶揽擥攬榄欖浨漤灠爦纜缆罱覧覽览醂顲
làn 嚂坔壏滥濫烂燗爁爛爤爦瓓糷钄
lāng 啷
láng 勆哴嫏廊斏桹榔樃欴狼琅瑯硠稂筤艆蓈蜋螂躴郎郒郞鋃鎯锒阆駺
lǎng 㙟㮾塱朖朗朤烺蓢誏
làng 㫰埌崀浪筤莨蒗誏郎閬阆
lāo 捞撈粩
láo 㟹䲏僗劳労勞哰唠嘮崂嶗憥憦朥浶牢痨癆磱窂簩蟧醪鐒铹顟髝
lǎo 㧯䇭佬咾姥恅栳潦狫珯硓老耂荖蛯轑銠铑鮱
lào 乐唠嗠嘮嫪憦樂橯涝潦澇烙絡络耢耮落躼軂酪
lē 嘞肋
lè 乐仂勒叻忇扐楽樂氻泐牞玏砳竻簕艻阞韷餎鰳鱳鳓
le 了饹
lēi 勒
léi 㗊㹎儽嫘擂樏檑櫑欙瓃畾磥礌礧累絫縲纍纝缧罍羸蔂蘲虆轠鐳鑘镭雷靁鱩鼺
lěi 㶟㿔傫儡厽垒塁壘壨樏櫐櫑洡灅瘣癗矋磊磥礌礧礨累絫耒蕌蕾藟蘽蠝誄讄诔鑸鸓
lèi 擂攂泪洡涙淚礧祱禷类累絫纇肋蘱酹銇錑頛頪類颣
lei 嘞
lēng 㘄棱
léng 唥塄崚棱楞碐稜薐
lěng 冷
lèng 倰堎愣睖踜
lī 哩
lí 㛤㠟㰀丽刕剓剺劙厘喱嚟囄嫠孋孷廲悡斄杝柂梨梩梸棃樆漓灕犁犂犛狸琍璃瓈盠睝离穲竰筣篱籬糎縭纚缡罹艃荲菞蓠蔾藜蘺蜊蟍蟸蠡蠫褵謧貍邌醨釐鋫錅鏫鑗離驪骊鯏鯬鱺鲡鵹鸝鹂麗黎黧𬘭
lǐ 㸚俚哩娌峢峲悝李欚浬澧理礼禮粴纚蠡裏裡豊逦邐醴里鋰锂鯉鱧鱱鲤鳢
lì 㧰㾐䟐䰛丽例俐俪傈儮儷凓利力励勵历厉厤厯厲叓叕吏呖唎唳嚦囇坜塛壢娳婯孋屴岦巁悧悷慄戾扐扚搮擽攊攦攭暦曆曞朸枥栃栎栗栛棙檪櫔櫟櫪欐歴歷沥沴沵浰涖溧濿瀝爄爏犡猁珕瑮瓅瓑瓥疠疬痢癘癧皪盭睙砅砬砺砾磿礪礫礰禲秝立笠篥粒粝糲綟纅脷苈苙茘荔莅莉蒚蒞藶蚸蛎蛠蜧蝷蠇蠣觻詈讈赲跞躒轢轣轹迣郦酈鉝銐鎘镉隶隷隸雳靂靋鬁鬲鳨鴗鷅麗麜𪲔𫟷𫵷
li 哩里𬶠
liǎ 俩倆
lián 亷劆匲匳嗹噒奁奩嫾帘廉怜慩憐梿槏槤檶櫣涟溓漣濂濓瀮熑燫磏簾籢籨縺翴联聨聫聮聯臁莲蓮薕螊蠊裢褳覝謰蹥连連鎌鐮镰鬑鰱鲢
liǎn 嬚慩摙敛斂梿槤櫣歛溓琏璉羷脸臉莶蔹薟蘝蘞裣襝鄻醶
liàn 僆堜媡恋戀摙楝殓殮浰湅潋澰瀲炼煉瑓稴練纞练萰錬鍊鏈链鰊
liáng 䣼俍凉墚梁椋樑涼粮粱糧良莨踉輬辌量駺𫟅
liǎng 両两俩倆兩唡啢掚緉脼蜽裲魉魎𬜯
liàng 亮倞凉哴喨悢晾涼湸諒谅踉輌輛辆量鍄靓靚
liāo 撩蹽
liáo 䒿僚嘹嫽寥寮尞屪嵺嶚嶛廫憀憭摎撩敹暸樛橑漻潦燎爎爒獠璙疗療窌竂簝繚缪缭聊膋膫藔蟟蟧豂賿蹘辽遼飂飉髎鷯鹩
liǎo 了憭燎爎爒瞭繆蓼鄝釕钌镽
liào 尥尦廖撂料炓瞭窷釕鐐钌镣𪤗
liē 咧
lié 咧
liě 咧忚挘毟裂
liè 䴕䶛儠冽列劣劦劽哷埒埓姴峛巁巤挒捩擸栵棙洌浖烈烮煭燤爄爉犣猎猟獦獵綟聗脟茢蛚裂趔躐迾颲鬛鬣鮤鱲鴷𫚭
lie 咧
līn 拎
lín 临冧厸啉壣崊嶙惏斴晽暽林淋潾瀶燐獜琳璘疄瞵碄磷箖粦粼綝繗翷臨轔辚遴邻鄰鏻阾隣霖驎鱗鳞麐麟𬭸𬴊
lǐn 㐭亃僯凛凜廩廪懍懔撛檁檩澟癛癝箖菻
lìn 亃吝恡悋橉淋焛獜甐疄痳膦蔺藺賃赁蹸躏躙躪轥閵
líng ○㥄㱥䔖令伶凌刢囹坽夌姈婈孁岺崚彾掕昤朎柃棂棱櫺欞泠淩澪灵燯爧狑玲琌瓴皊砱祾秢稜竛笭紷綾绫羐羚翎聆舲苓菱蓤蔆蕶蛉衑袊裬詅跉軨輘酃醽鈴錂铃閝陵零霊霗霛霝靈駖魿鯪鲮鴒鸰鹷麢齡齢龄龗
lǐng 令岭嶺袊領领
lìng 令另呤炩蘦
liū 溜澑熘蹓𥉳
liú 㳅刘劉嚠媹嵧懰摎斿旈旒榴橊流浏漻瀏珋琉瑠瑬璢畄留畱疁瘤癅硫磂蒥蓅藰蟉裗遛鎏鎦鏐鐂镏镠飀飅飗馏駠駵騮驑骝鰡鶹鹠麍𨻧
liǔ 嬼懰柳栁桞桺橮熮珋綹绺罶羀藰鋶锍
liù 䄂六塯廇溜澑碌磂磟窌翏蹓遛鎦镏陆雡霤飂餾馏鬸鷚鹨
lo 咯
lōng 隆
lóng 儱咙嚨尨屸嶐巃巄昽曨朧栊槞櫳泷湰滝漋瀧爖珑瓏癃眬矓砻礱礲窿竜笼篭籠聋聾胧茏蘢蠪蠬襱豅躘鏧鑨隆霳靇驡鸗龍龒龓龙𦨩
lǒng 儱垄垅壟壠徿拢攏竉笼篢篭籠躘陇隴龓𫢒𬕂
lòng 㟖儱哢弄徿梇硦贚
lōu 䁖搂摟
lóu 䝏偻僂剅喽嘍娄婁寠廔慺楼樓溇漊熡瞜耧耬艛蒌蔞蝼螻謱貗軁遱鞻髅髏鷜𦝼𪣻
lǒu 塿嵝嶁搂摟甊篓簍
lòu 屚漏瘘瘺瘻鏤镂陋露
lou 喽嘍瞜
lū 噜嚕撸擼謢
