iter	MultiClass
0	1.090829683
1	1.079157932
2	1.067899384
3	1.054460535
4	1.039272234
5	1.025394455
6	1.013026924
7	0.996531721
8	0.9821879191
9	0.9705062062
10	0.9585324256
11	0.9530851374
12	0.942077813
13	0.9309683581
14	0.9199880341
15	0.9163282201
16	0.9012611521
17	0.8947953758
18	0.8838376516
19	0.8745782711
20	0.8622823006
21	0.8487985078
22	0.8376409892
23	0.8257332865
24	0.8172450003
25	0.8058893512
26	0.7980777992
27	0.7937623722
28	0.7898064356
29	0.7819165253
30	0.7755322396
31	0.7637030145
32	0.7512581023
33	0.742992698
34	0.7343229646
35	0.7317736863
36	0.7236662501
37	0.7179633289
38	0.708028319
39	0.6990406468
40	0.6920005273
41	0.683378175
42	0.6744259188
43	0.6677592407
44	0.6628271329
45	0.659387589
46	0.6548921487
47	0.6482986026
48	0.6416763321
49	0.6367323702
50	0.6345575244
51	0.6331028806
52	0.6255924548
53	0.6207428476
54	0.6140201061
55	0.606110927
56	0.6043930762
57	0.5972645963
58	0.5892506174
59	0.5860268879
60	0.581231509
61	0.5760774875
62	0.5721631845
63	0.5667057265
64	0.562595344
65	0.5592735093
66	0.5568916843
67	0.5557775438
68	0.5541609572
69	0.5497943646
70	0.5453527493
71	0.5387272165
72	0.5356922711
73	0.5329454669
74	0.5311494823
75	0.5281542748
76	0.5238515845
77	0.5211141949
78	0.5171434063
79	0.5153182029
80	0.5125003451
81	0.5084983171
82	0.5029882433
83	0.5005002993
84	0.4953648127
85	0.4912160212
86	0.4864931769
87	0.4843186543
88	0.4789000316
89	0.4782693828
90	0.4754640459
91	0.4712472059
92	0.4670671556
93	0.4626435353
94	0.4591680152
95	0.4563743403
96	0.4538410301
97	0.4491205222
98	0.4478946568
99	0.4471673677
100	0.4445539493
101	0.4440870873
102	0.4415992926
103	0.4383213243
104	0.4378762211
105	0.4370834742
106	0.4331359373
107	0.4317609101
108	0.4288121234
109	0.4248050917
110	0.4209857977
111	0.4195693638
112	0.4186384782
113	0.4161337021
114	0.4140734779
115	0.4119857514
116	0.4112086406
117	0.4108465868
118	0.4082276278
119	0.4054656149
120	0.4025040258
121	0.4001434029
122	0.3997609537
123	0.3959632441
124	0.3945945272
125	0.3924879421
126	0.3900539106
127	0.3881931646
128	0.3855709963
129	0.3830471283
130	0.3805128916
131	0.3799992834
132	0.379271033
133	0.3769248902
134	0.3742187589
135	0.3719222519
136	0.3691880827
137	0.367792968
138	0.3659805241
139	0.3640143245
140	0.3613105319
141	0.3608188434
142	0.360325386
143	0.3597870905
144	0.3580756069
145	0.3572871429
146	0.3559444488
147	0.3551878899
148	0.3543891898
149	0.3520297568
150	0.351707917
151	0.3507120311
152	0.3498968951
153	0.3492659026
154	0.3473253386
155	0.3471598618
156	0.345534094
157	0.3453399594
158	0.3435957373
159	0.3422808237
160	0.3407002507
161	0.3402272138
162	0.3394968952
163	0.336725302
164	0.3363118736
165	0.3359099916
166	0.3350581501
167	0.3326124194
168	0.3301169737
169	0.3284779411
170	0.3276941414
171	0.3270851625
172	0.3247720929
173	0.3237806001
174	0.3213927837
175	0.3199829241
176	0.3190218905
177	0.3170484348
178	0.316388029
179	0.3151381375
180	0.3136790071
181	0.3111886964
182	0.3108472614
183	0.3101055796
184	0.3079290175
185	0.3056550678
186	0.3055571931
187	0.3031279224
188	0.3026811737
189	0.3018971399
190	0.300695361
191	0.2991124338
192	0.2983863969
193	0.2973187208
194	0.2952019451
195	0.2937956879
196	0.2932351714
197	0.2919458026
198	0.2914125726
199	0.2900796848
200	0.2881710682
201	0.2864327954
202	0.2863550952
203	0.2856045744
204	0.2842515484
205	0.2836718258
206	0.2835750423
207	0.2834326853
208	0.2830582395
209	0.2818141098
210	0.2812201561
211	0.2811230225
212	0.2804808093
213	0.2802757459
214	0.2796826447
215	0.278627598
216	0.2769364785
217	0.2759113777
218	0.2743069004
219	0.273589052
220	0.2726048216
221	0.2721835275
222	0.2721096087
223	0.270554737
224	0.270033087
225	0.2689557849
226	0.2674969379
227	0.2668616618
228	0.2667898592
229	0.2652522541
230	0.2644003738
231	0.2633953842
232	0.2624739144
233	0.26148479
234	0.2614205283
235	0.2603570215
236	0.2594037324
237	0.258175782
238	0.2576588953
239	0.2574387431
240	0.2562151342
241	0.2561209096
242	0.2559927695
243	0.2543682603
244	0.2533994405
245	0.2522166216
246	0.2511081019
247	0.2501165465
248	0.249260875
249	0.2478950052
250	0.2470806322
251	0.2469025286
252	0.2455302984
253	0.2447375375
254	0.2442426292
255	0.2441001491
256	0.244039076
257	0.243972277
258	0.2431315841
259	0.2418983046
260	0.2406346626
261	0.2400245204
262	0.2384109153
263	0.2372946022
264	0.2363458773
265	0.2354627578
266	0.235420704
267	0.2339270908
268	0.2333970748
269	0.2333386838
270	0.2327459086
271	0.231543263
272	0.2307804528
273	0.2299020703
274	0.2293943378
275	0.2285651612
276	0.2278607665
277	0.2268776851
278	0.2259005551
279	0.2252426882
280	0.2250759996
281	0.2247047388
282	0.2235350196
283	0.2226606109
284	0.2217531223
285	0.2209371145
286	0.2203120611
287	0.2192544982
288	0.2180892917
289	0.2178331791
290	0.2170936552
291	0.216472282
292	0.216424715
293	0.2156569786
294	0.2153179259
295	0.2149956566
296	0.2142488467
297	0.2131608289
298	0.2128571876
299	0.2118651867
300	0.2109879315
301	0.2108374483
302	0.2107527613
303	0.2106785005
304	0.2102822503
305	0.2099313129
306	0.209231839
307	0.2083686922
308	0.2082372792
309	0.2079513127
310	0.2073669307
311	0.2069262975
312	0.2062632458
313	0.2054062708
314	0.2046641162
315	0.2043494887
316	0.2038803319
317	0.2032648521
318	0.2032413921
319	0.2032052419
320	0.2028725788
321	0.2025169469
322	0.2019897529
323	0.2013628768
324	0.2012866505
325	0.2008059245
326	0.2003731355
327	0.2000807911
328	0.1998365486
329	0.199108065
330	0.1985799446
331	0.1978734604
332	0.1978141351
333	0.197644368
334	0.19745488
