iter	Passed	Remaining
0	1	4344
1	3	5012
2	4	4837
3	6	5005
4	8	5337
5	9	5423
6	11	5430
7	13	5475
8	14	5472
9	16	5471
10	18	5462
11	19	5358
12	20	5276
13	22	5234
14	24	5293
15	25	5182
16	27	5234
17	28	5166
18	30	5273
19	31	5214
20	33	5235
21	35	5243
22	37	5285
23	38	5304
24	40	5313
25	42	5353
26	43	5318
27	45	5268
28	46	5214
29	47	5226
30	49	5224
31	51	5242
32	52	5243
33	54	5261
34	56	5273
35	57	5250
36	59	5255
37	61	5282
38	63	5288
39	64	5294
40	66	5292
41	68	5296
42	69	5309
43	71	5326
44	73	5310
45	74	5294
46	76	5281
47	78	5320
48	80	5347
49	82	5350
50	83	5318
51	84	5287
52	85	5274
53	87	5265
54	89	5269
55	91	5288
56	92	5262
57	94	5267
58	95	5277
59	97	5257
60	98	5258
61	100	5261
62	102	5254
63	103	5256
64	105	5254
65	107	5254
66	108	5231
67	109	5208
68	110	5182
69	112	5185
70	113	5172
71	115	5174
72	116	5162
73	117	5142
74	118	5125
75	120	5105
76	122	5118
77	123	5114
78	125	5124
79	126	5115
80	128	5110
81	130	5111
82	131	5116
83	133	5106
84	134	5098
85	136	5103
86	138	5110
87	139	5111
88	141	5120
89	142	5097
90	144	5093
91	145	5098
92	147	5089
93	148	5088
94	150	5080
95	151	5077
96	153	5066
97	155	5073
98	156	5064
99	157	5050
100	158	5045
101	160	5026
102	161	5026
103	163	5027
104	164	5005
105	165	4992
106	167	5003
107	168	4994
108	170	5005
109	172	5024
110	174	5026
111	175	5013
112	176	4999
113	179	5018
114	180	5009
115	182	5005
116	183	4996
117	184	4981
118	186	4986
119	188	5002
120	190	5003
121	191	5002
122	192	4990
123	194	4985
124	195	4977
125	197	4975
126	198	4979
127	200	4978
128	202	4993
129	204	5003
130	206	5010
131	207	4997
132	209	4990
133	210	4991
134	213	5023
135	215	5032
136	217	5041
137	219	5039
138	221	5044
139	223	5048
140	226	5079
141	227	5067
142	228	5053
143	229	5040
144	230	5034
145	232	5032
146	234	5041
147	235	5034
148	237	5024
149	238	5026
150	239	5014
151	241	5011
152	242	5002
153	243	4993
154	245	4993
155	246	4980
156	248	4986
157	250	4981
158	251	4976
159	252	4972
160	254	4974
161	255	4965
162	257	4957
163	258	4959
164	260	4950
165	261	4941
166	262	4933
167	264	4931
168	265	4933
169	267	4935
170	268	4927
171	271	4939
172	272	4941
173	275	4955
174	277	4958
175	278	4958
176	280	4953
177	281	4953
178	283	4947
179	284	4947
180	286	4948
181	288	4950
182	289	4939
183	290	4931
184	292	4930
185	293	4931
186	294	4919
187	296	4919
188	297	4910
189	298	4903
190	300	4899
191	302	4901
192	303	4897
193	305	4897
194	307	4898
195	308	4897
196	309	4889
197	312	4902
198	313	4895
199	315	4896
200	316	4896
201	318	4896
202	319	4885
203	320	4880
204	322	4881
205	324	4878
206	325	4868
207	326	4861
208	327	4854
209	329	4856
210	330	4850
211	331	4839
212	332	4834
213	334	4826
214	335	4819
215	336	4818
216	338	4818
217	340	4820
218	343	4839
219	344	4832
220	346	4832
221	347	4826
222	348	4818
223	350	4817
224	351	4816
225	353	4815
226	354	4814
227	356	4808
228	357	4800
229	359	4801
230	360	4798
231	362	4800
232	364	4800
233	365	4802
234	366	4793
235	368	4792
236	370	4793
237	371	4793
238	373	4789
239	374	4781
240	375	4781
241	377	4775
242	378	4768
243	379	4767
244	381	4767
245	383	4768
246	385	4768
247	386	4768
248	387	4763
249	389	4762
250	391	4761
251	392	4755
252	394	4754
253	395	4749
254	396	4743
255	397	4736
256	398	4729
257	399	4721
258	401	4719
259	402	4720
260	404	4719
261	405	4714
262	407	4713
263	408	4711
264	410	4713
265	412	4715
266	413	4709
267	415	4710
268	416	4705
269	417	4700
270	419	4698
271	421	4699
272	423	4699
273	424	4702
274	426	4700
275	428	4701
276	429	4701
277	431	4703
278	433	4704
279	435	4701
280	436	4694
281	437	4691
282	439	4691
283	440	4692
284	442	4692
285	444	4693
286	445	4689
